appointment_id,car_name,make,model,body_type,fuel_type,transmission,variant,year,listing_price,original_price,discount,odometer_km,ownership,location,city_code,city_rto,location_id,registration_number,status,business_vertical,car_segment
10497675139,Ford Ecosport,Ford,Ecosport,Suv,Petrol,Automatic,TITANIUM + 1.5L PETROL AT,2021.0,799540.0,814540,15000,46885.0,1,"Uppal, Hyderabad",CC_3686,TS07,3583,TS07**6431,AVAILABLE,GS,STANDARD
15164379118,KIA SONET,Kia,SONET,Suv,Petrol,Manual,HTX 1.0 IMT,2020.0,635714.0,647714,12000,66569.0,1,"Gaur City mall, Multilevel parking, Greater Noida",CC_134,UP15,2659,UP15**8559,AVAILABLE,GS,STANDARD
17369506747,Jeep Compass,Jeep,Compass,Suv,Petrol,Automatic,LIMITED (O) 1.4 PETROL AT,2018.0,621636.0,788456,166820,67425.0,2,"Avani Riverside Mall, Howrah",CC_777,WB02,3149,WB02**2969,AVAILABLE,GS,STANDARD
10612672151,Tata NEXON,Tata,NEXON,Suv,Petrol,Automatic,XZA PLUS PETROL,2020.0,621023.0,633023,12000,103738.0,1,"Amanora Mall apex building, Pune",CC_2423,MH14,2612,MH14**9415,AVAILABLE,GS,STANDARD
10262979114,Maruti Swift,Maruti,Swift,Hatchback,Petrol,Manual,VXI,2022.0,580956.0,637456,56500,40223.0,1,Nexus Whitefield,CC_4709,KA09,2642,KA09**6755,AVAILABLE,GS,STANDARD
15026897124,Hyundai Creta,Hyundai,Creta,Suv,Petrol,Manual,BASE 1.6 PETROL,2016.0,498217.0,501217,3000,88574.0,1,"Atal Path, Patna",CC_8184,BR07,962,BR07*2464,AVAILABLE,GS,STANDARD
10777278192,Hyundai Elite i20,Hyundai,Elite i20,Hatchback,Petrol,Manual,MAGNA PLUS 1.2,2020.0,457376.0,462690,5314,66914.0,2,"Mansarovar, Jaipur",CC_2130,RJ45,2377,RJ45**1473,AVAILABLE,GS,STANDARD
11463277158,Maruti Swift,Maruti,Swift,Hatchback,Petrol,Manual,VXI,2019.0,440855.0,446855,6000,68281.0,1,"Karnavati Club, Ahmedabad",CC_1692,GJ27,1035,GJ27**3765,AVAILABLE,GS,STANDARD
11623979176,Maruti Alto K10,Maruti,Alto K10,Hatchback,Petrol,Manual,VXI,2024.0,407500.0,42500,0,15204.0,1,"Bestech Square Mall, Mohali",CC_769,PB65,3054,PB65**9736,AVAILABLE,GS,STANDARD
11900876197,Honda City,Honda,City,Sedan,Petrol,Manual,1.5L I-VTEC VX,2016.0,402500.0,39500,0,55009.0,1,"Newtown, Kolkata",CC_777,WB26,2501,WB26*7269,AVAILABLE,GS,STANDARD
10067174118,Maruti Baleno,Maruti,Baleno,Hatchback,Petrol,Manual,SIGMA PETROL 1.2,2020.0,386316.0,435866,49550,42657.0,1,Rajouri Garden,CC_2,DL2C,2656,DL2C**3597,AVAILABLE,GS,STANDARD
10512999138,Maruti Swift,Maruti,Swift,Hatchback,Petrol,Manual,LXI,2019.0,364936.0,405936,41000,57298.0,1,"Metro Walk, Rohini, New Delhi",CC_2,DL8C,101,DL8C**7924,AVAILABLE,GS,STANDARD
11981994120,Maruti Swift,Maruti,Swift,Hatchback,Petrol,Manual,ZXI,2017.0,352440.0,388140,35700,77552.0,1,"Newtown, Kolkata",CC_777,WB24,2501,WB24**3747,AVAILABLE,GS,STANDARD
32819374174,Hyundai i20 Active,Hyundai,i20 Active,Hatchback,Petrol,Manual,1.2 S,2016.0,351500.0,365500,14000,51534.0,1,"Metro Walk, Rohini, New Delhi",CC_2,DL3C,101,DL3C**9204,AVAILABLE,GS,STANDARD
43936173119,Renault Kwid,Renault,Kwid,Hatchback,Petrol,Manual,RXT 1.0 (O),2019.0,316140.0,336684,20544,45679.0,2,"Thiruverkadu, Chennai",CC_5732,TN12,2283,TN12**9374,AVAILABLE,GS,STANDARD
14433674172,Maruti Wagon R 1.0,Maruti,Wagon R 1.0,Hatchback,Petrol,Manual,VXI,2018.0,309114.0,334614,25500,72688.0,1,"Atal Path, Patna",CC_8184,BR31,962,BR31**1334,AVAILABLE,GS,STANDARD
25490874190,Renault Kwid,Renault,Kwid,Hatchback,Petrol,Manual,RXT 1.0 (O),2021.0,309060.0,344086,35026,37480.0,1,"Karnavati Club, Ahmedabad",CC_1692,GJ18,1035,GJ18**1537,AVAILABLE,GS,STANDARD
20711990139,Renault Kwid,Renault,Kwid,Hatchback,Petrol,Automatic,CLIMBER 1.0 AMT,2017.0,283017.0,336817,53800,65347.0,2,"Kakkanad, Kochi",CC_6356,KL29,2340,KL29*0499,AVAILABLE,GS,STANDARD
13502493170,Renault Kwid,Renault,Kwid,Hatchback,Cng,Manual,RXL 0.8 EDITION,2019.0,255229.0,308597,53368,74893.0,1,"Akshar Party, Rajkot",CC_1606,GJ05,630,GJ05**0294,AVAILABLE,GS,STANDARD
10329673112,Renault Kwid,Renault,Kwid,Hatchback,Petrol,Manual,RXT 0.8,2016.0,209024.0,214024,5000,43785.0,1,Near Belapur Dmart,CC_2378,MH46,3376,MH46**9580,AVAILABLE,GS,STANDARD
